Date,account,total_pnl,total_volume,avg_trade_size,trade_count,avg_leverage,win_rate,long_pct,max_drawdown,Classification,Sentiment_Score
2025-05-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,-5843.04,85842.96,42921.48,2,1.0,0.0,50.0,-6416.182833999977,Greed,67.0
2025-05-03,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,423.18,11551.92,550.09,21,1.0,28.57142857142857,61.904761904761905,0.0,Greed,67.0
2025-05-03,0x39cef799f8b69da1995852eea189df24eb5cae3c,8187.59,151134.41,3514.75,43,1.0,55.81395348837209,44.18604651162791,-10612.492026999997,Greed,67.0
2025-05-03,0x2c229d22b100a7beb69122eed721cee9b24011dd,11113.17,225852.67,2537.67,89,1.0,65.1685393258427,34.831460674157306,0.0,Greed,67.0
2025-05-03,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,437.35,28836.0,1109.08,26,1.0,76.92307692307693,34.61538461538461,0.0,Greed,67.0
2025-05-03,0x8477e447846c758f5a675856001ea72298fd9cb5,34.86,18466.74,543.14,34,1.0,11.76470588235294,0.0,0.0,Greed,67.0
2025-05-04,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,1113.76,100509.71,1116.77,90,1.0,30.0,70.0,-14395.46441399993,Greed,67.0
2025-05-04,0xb899e522b5715391ae1d4f137653e7906c5e2115,611.49,102303.13,20460.63,5,1.0,100.0,0.0,-60904.352893999996,Greed,67.0
2025-05-04,0x8477e447846c758f5a675856001ea72298fd9cb5,0.0,2498.98,624.74,4,1.0,0.0,0.0,0.0,Greed,67.0
2025-05-04,0x6d6a4b953f202f8df5bed40692e7fd865318264a,41.48,17457.45,1026.91,17,1.0,64.70588235294117,70.58823529411765,-3.5246400000032736,Greed,67.0
2025-05-04,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2400.0,333099.99,41637.5,8,1.0,12.5,87.5,0.0,Greed,67.0
2025-05-04,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,31134.24,527928.11,5175.77,102,1.0,100.0,0.0,0.0,Greed,67.0
2025-05-04,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,-132.88,14666.43,586.66,25,1.0,40.0,16.0,-1456.590744000001,Greed,67.0
2025-05-04,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,562.19,64289.35,3383.65,19,1.0,100.0,0.0,0.0,Greed,67.0
2025-05-04,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,177.05,18551.42,331.28,56,1.0,60.71428571428571,32.142857142857146,-243.571535999974,Greed,67.0
2025-05-04,0x513b8629fe877bb581bf244e326a047b249c4ff1,0.0,86259.65,2537.05,34,1.0,0.0,100.0,0.0,Greed,67.0
2025-06-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,281.45,20211.98,237.79,85,1.0,32.94117647058823,67.05882352941175,0.0,Greed,67.0
2025-06-01,0x8477e447846c758f5a675856001ea72298fd9cb5,272.13,65659.13,246.84,266,1.0,3.007518796992481,10.526315789473683,-61.024428000000626,Greed,67.0
2025-06-01,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1260.83,12912.0,12912.0,1,1.0,100.0,0.0,0.0,Greed,67.0
2025-06-01,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,0.0,72771.21,2910.85,25,1.0,0.0,0.0,0.0,Greed,67.0
2025-06-01,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,559.64,34855.47,414.95,84,1.0,20.238095238095237,32.142857142857146,-129.59698800000479,Greed,67.0
2025-06-01,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,114.68,6566.03,82.08,80,1.0,26.25,22.5,0.0,Greed,67.0
2025-06-01,0x4f93fead39b70a1824f981a54d4e55b278e9f760,3575.44,343551.17,10735.97,32,1.0,43.75,56.25,0.0,Greed,67.0
2025-06-02,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2780.14,577728.76,716.79,806,1.0,33.99503722084367,65.88089330024815,-6976.955027000004,Greed,67.0
2025-06-02,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,1212.45,39537.66,1363.37,29,1.0,89.65517241379311,75.86206896551724,-51725.88959500007,Greed,67.0
2025-06-02,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,-24500.0,239500.0,18423.08,13,1.0,0.0,92.3076923076923,-24500.0,Greed,67.0
2025-06-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,51100.95,677553.7,1617.07,419,1.0,84.7255369928401,84.7255369928401,0.0,Greed,67.0
2025-06-02,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,71.77,314161.67,1881.21,167,1.0,23.353293413173652,67.66467065868264,-110.57132100000308,Greed,67.0
2025-06-02,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,922.67,26120.86,414.62,63,1.0,23.809523809523807,61.904761904761905,-3.2764160000078846,Greed,67.0
2025-06-02,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2055.54,341318.58,4675.6,73,1.0,27.397260273972602,54.794520547945204,-614.113023999962,Greed,67.0
2025-06-02,0x4f93fead39b70a1824f981a54d4e55b278e9f760,440.75,300413.94,30041.39,10,1.0,40.0,60.0,0.0,Greed,67.0
2025-06-02,0x8170715b3b381dffb7062c0298972d4727a0a63b,0.0,7999.76,470.57,17,1.0,0.0,0.0,-5736.219455999999,Greed,67.0
2025-06-02,0x2c229d22b100a7beb69122eed721cee9b24011dd,-639.35,228757.24,3750.12,61,1.0,57.377049180327866,27.86885245901639,-1447.081091,Greed,67.0
2025-06-02,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,358.88,65416.7,1453.7,45,1.0,37.77777777777778,62.22222222222222,0.0,Greed,67.0
2025-06-03,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,601.49,123746.02,1406.2,88,1.0,42.04545454545455,60.22727272727273,-28207.8419130001,Greed,67.0
2025-06-03,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,0.0,38934.55,2433.41,16,1.0,0.0,18.75,0.0,Greed,67.0
2025-06-03,0xbaaaf6571ab7d571043ff1e313a9609a10637864,0.0,702888.43,9899.84,71,1.0,0.0,100.0,0.0,Greed,67.0
2025-06-03,0xb899e522b5715391ae1d4f137653e7906c5e2115,5348.99,4886690.06,13031.17,375,1.0,60.8,41.6,0.0,Greed,67.0
2025-06-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,698.04,125778.96,1905.74,66,1.0,43.93939393939394,56.060606060606055,0.0,Greed,67.0
2025-06-03,0x8477e447846c758f5a675856001ea72298fd9cb5,0.0,773.73,110.53,7,1.0,0.0,0.0,0.0,Greed,67.0
2025-06-03,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,5109.86,145280.13,9685.34,15,1.0,33.33333333333333,66.66666666666666,0.0,Greed,67.0
2025-06-03,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,102.93,8915.96,743.0,12,1.0,50.0,33.33333333333333,-139.9905410000065,Greed,67.0
2025-06-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,600.01,51825.01,1400.68,37,1.0,70.27027027027027,0.0,-6334.487421000002,Greed,67.0
2025-06-03,0x2c229d22b100a7beb69122eed721cee9b24011dd,279.15,19309.91,1287.33,15,1.0,73.33333333333333,26.666666666666668,0.0,Greed,67.0
2025-06-03,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,291.47,17989.23,856.63,21,1.0,61.904761904761905,47.61904761904761,0.0,Greed,67.0
2025-06-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,3069.2,643192.97,17383.59,37,1.0,27.027027027027028,62.16216216216216,-46.24705599999288,Greed,67.0
